Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa
3,5.720000000000001,3.2,1.3,0.2,Iris-setosa
4,5.720000000000001,3.1,1.5,0.2,Iris-setosa
5,5.720000000000001,3.6,1.4,0.2,Iris-setosa
6,5.720000000000001,3.9,1.7,0.4,Iris-setosa
7,5.720000000000001,3.4,1.4,0.3,Iris-setosa
8,5.720000000000001,3.4,1.5,0.2,Iris-setosa
9,5.720000000000001,2.9,1.4,0.2,Iris-setosa
10,5.720000000000001,3.1,1.5,0.1,Iris-setosa
11,5.720000000000001,3.7,1.5,0.2,Iris-setosa
12,5.720000000000001,3.4,1.6,0.2,Iris-setosa
13,5.720000000000001,3.0,1.4,0.1,Iris-setosa
14,5.720000000000001,3.0,1.1,0.1,Iris-setosa
15,5.720000000000001,4.0,1.2,0.2,Iris-setosa
16,5.720000000000001,4.4,1.5,0.4,Iris-setosa
17,5.720000000000001,3.9,1.3,0.4,Iris-setosa
18,5.720000000000001,3.5,1.4,0.3,Iris-setosa
19,5.720000000000001,3.8,1.7,0.3,Iris-setosa
20,5.720000000000001,3.8,1.5,0.3,Iris-setosa
21,5.720000000000001,3.4,1.7,0.2,Iris-setosa
22,5.720000000000001,3.7,1.5,0.4,Iris-setosa
23,5.720000000000001,3.6,1.0,0.2,Iris-setosa
24,5.720000000000001,3.3,1.7,0.5,Iris-setosa
25,5.720000000000001,3.4,1.9,0.2,Iris-setosa
26,5.720000000000001,3.0,1.6,0.2,Iris-setosa
27,5.720000000000001,3.4,1.6,0.4,Iris-setosa
28,5.720000000000001,3.5,1.5,0.2,Iris-setosa
29,5.720000000000001,3.4,1.4,0.2,Iris-setosa
30,5.720000000000001,3.2,1.6,0.2,Iris-setosa
31,5.720000000000001,3.1,1.6,0.2,Iris-setosa
32,5.720000000000001,3.4,1.5,0.4,Iris-setosa
33,5.720000000000001,4.1,1.5,0.1,Iris-setosa
34,5.720000000000001,4.2,1.4,0.2,Iris-setosa
35,5.720000000000001,3.1,1.5,0.1,Iris-setosa
36,5.720000000000001,3.2,1.2,0.2,Iris-setosa
37,5.720000000000001,3.5,1.3,0.2,Iris-setosa
38,5.720000000000001,3.1,1.5,0.1,Iris-setosa
39,5.720000000000001,3.0,1.3,0.2,Iris-setosa
40,5.720000000000001,3.4,1.5,0.2,Iris-setosa
41,5.720000000000001,3.5,1.3,0.3,Iris-setosa
42,5.720000000000001,2.3,1.3,0.3,Iris-setosa
43,5.720000000000001,3.2,1.3,0.2,Iris-setosa
44,5.720000000000001,3.5,1.6,0.6,Iris-setosa
45,5.720000000000001,3.8,1.9,0.4,Iris-setosa
46,5.720000000000001,3.0,1.4,0.3,Iris-setosa
47,5.720000000000001,3.8,1.6,0.2,Iris-setosa
48,5.720000000000001,3.2,1.4,0.2,Iris-setosa
49,5.720000000000001,3.7,1.5,0.2,Iris-setosa
50,5.720000000000001,3.3,1.4,0.2,Iris-setosa
51,5.720000000000001,3.2,4.7,1.4,Iris-versicolor
52,5.720000000000001,3.2,4.5,1.5,Iris-versicolor
53,5.720000000000001,3.1,4.9,1.5,Iris-versicolor
54,5.720000000000001,2.3,4.0,1.3,Iris-versicolor
55,5.720000000000001,2.8,4.6,1.5,Iris-versicolor
56,5.720000000000001,2.8,4.5,1.3,Iris-versicolor
57,5.720000000000001,3.3,4.7,1.6,Iris-versicolor
58,5.720000000000001,2.4,3.3,1.0,Iris-versicolor
59,5.720000000000001,2.9,4.6,1.3,Iris-versicolor
60,5.720000000000001,2.7,3.9,1.4,Iris-versicolor
61,5.720000000000001,2.0,3.5,1.0,Iris-versicolor
62,5.720000000000001,3.0,4.2,1.5,Iris-versicolor
63,5.720000000000001,2.2,4.0,1.0,Iris-versicolor
64,5.720000000000001,2.9,4.7,1.4,Iris-versicolor
65,5.720000000000001,2.9,3.6,1.3,Iris-versicolor
66,5.720000000000001,3.1,4.4,1.4,Iris-versicolor
67,5.720000000000001,3.0,4.5,1.5,Iris-versicolor
68,5.720000000000001,2.7,4.1,1.0,Iris-versicolor
